date,add,remove
18/01/2019,TFX,PCG
15/02/2019,ATO,NFX
27/02/2019,WAB,GT
02/04/2019,DOW,BHF
01/06/2019,LHX,HRS
03/06/2019,"CTVA,DD","FLR,DWDP"
07/06/2019,AMCR,MAT
01/07/2019,MKTX,LLL
15/07/2019,TMUS,RHT
08/08/2019,GL,TMK
09/08/2019,"IEX,LDOS","FL,APC"
23/09/2019,CDW,TSS
26/09/2019,NVR,JEF
03/10/2019,LVS,NKTR
18/10/2019,BKR,BHGE
05/11/2019,"PEAK,NLOK","HCP,SYMC"
21/11/2019,NOW,CELG
05/12/2019,"WRB,VIAC","VIAB,CBS"
09/12/2019,"ODFL,TFC","STI,BBT"
10/12/2019,J,JEC
23/12/2019,"STE,ZBRA,LYV","MAC,TRIP,AMG"
28/01/2020,PAYC,WCG
03/03/2020,TT,XEC
03/04/2020,"RTX,OTIS,CARR",UTX
06/04/2020,HWM,"ARNC,RTN,M"
12/05/2020,"DXCM,DPZ","AGN,CPRI"
22/05/2020,WST,HP
22/06/2020,"TYL,TDY,BIO","JWN,HOG,ADS"
18/09/2020,LUMN,CTL
21/09/2020,"CTLT,TER,ETSY","COTY,KSS,HRB"
07/10/2020,POOL,ETFC
12/10/2020,VNT,NBL
17/11/2020,VTRS,MYL
21/12/2020,TSLA,AIV
07/01/2021,ENPH,TIF
21/01/2021,TRMB,CXO
12/02/2021,MPWR,FTI
22/03/2021,"CZR,GNRC,PENN,NXPI","VNT,XRX,SLG,FLS"
20/04/2021,PTC,VAR
14/05/2021,CRL,FLIR
04/06/2021,OGN,HFC
21/07/2021,MRNA,ALXN
03/08/2021,BBWI,LB
30/08/2021,TECH,MXIM
20/09/2021,"BRO,CDAY,MTCH","NOV,UNM,PRGO"
04/10/2021,CTRA,COG
14/12/2021,EPAM,KSU
20/12/2021,"SBNY,SEDG,FDS","LEG,HBI,WU"
20/01/2022,WTW,WLTW
02/02/2022,CEG,GPS
15/02/2022,NDSN,XLNX
17/02/2022,PARA,VIAC
02/03/2022,MOH,INFO
04/04/2022,CPT,PBCT
11/04/2022,WBD,"DISCA,DISCK"
10/05/2022,BALL,BLL
08/06/2022,VICI,CERN
09/06/2022,META,FB
21/06/2022,"ON,KDP","IPGP,UA,UAA"
28/06/2022,ELV,ANTM
19/09/2022,"INVH,CSGP","PENN,PVH"
03/10/2022,"EQT,PCG","DRE,CTXS"
12/10/2022,TRGP,NLSN
01/11/2022,ACGL,TWTR
08/11/2022,GEN,NLOK
19/12/2022,FSLR,FBHS
22/12/2022,STLD,ABMD
04/01/2023,GEHC,VNO
15/03/2023,"PODD,BG","SIVB,SBNY"
20/03/2023,FICO,LUMN
04/05/2023,AXON,FRC
16/05/2023,RVTY,PKI
07/06/2023,FI,FISV
10/06/2023,EG,RE
20/06/2023,PANW,DISH
25/08/2023,KVUE,AAP
30/08/2023,COR,ABC
18/09/2023,"ABNB,BX","NWL,LNC"
02/10/2023,VLTO,DXC
18/10/2023,"LULU,HUBB,BLDR,JBL,UBER","ATVI,OGN,SEDG,ALK,SEE"
01/02/2024,DAY,CDAY
04/03/2024,DOC,PEAK
18/03/2024,"DECK,SMCI","ZION,WHR"
25/03/2024,CPAY,FLT
03/04/2024,"SOLV,GEV","VFC,XRAY"
08/05/2024,VST,PXD
24/06/2024,"GDDY,CRWD,KKR","ILMN,CMA,RHI"
08/07/2024,SW,WRK
23/09/2024,"PLTR,DELL,ERIE","AAL,ETSY,BIO"
30/09/2024,AMTM,BBWI
26/11/2024,TPL,MRO
23/12/2024,"APO,WDAY,LII","QRVO,AMTM,CTLT"